Machine Learning,https://www.seas.upenn.edu/~cis519/fall2018/
Automation,https://github.com/mberk06/Random-Code/blob/master/SchorkAutomationGithub.py
Investing,https://www.thebalance.com/rolling-index-returns-1973-mid-2009-4061795
Entrepreneurship,http://pci.upenn.edu/pennovation-accelerator-2018/
Environmental Management,https://www.sas.upenn.edu/earth/environmental-studies/sustainability-and-environmental-management-concentration
Side-Projects,http://michaeldberk.com/experience
Coral Reefs,http://www.reefcheck.org/
Spanish,https://casa.education/sevilla
Product,https://www.reef.com/shop/arch-support/fanning-prints-rf002146?variationId=TTO#hero=0
Design,http://waveofchange.com/
UI,https://robinhood.com/
Sustainability,http://newleaf-llc.com/wp-content/uploads/2013/07/Triple-Bottom-Line-Venn.png
Data,https://catalog.upenn.edu/undergraduate/programs/data-science-minor/
Ocean,http://www.ceibahamas.org/
Sharks,https://www.instagram.com/p/BJWOwSDhIU7V4ngl8lGqzBVF5QqVjj8y0tOktw0/
NBA,https://www.youtube.com/results?search_query=top+ten+plays+nba
76ers,https://www.youtube.com/watch?v=amv8fiCQnXI
Music,https://open.spotify.com/album/392p3shh2jkxUxY2VHvlH8
Business,https://www.fitalyst.com/
Python,https://github.com/mberk06/Random-Code/blob/master/SchorkAutomationGithub.py
R,https://github.com/mberk06/R-Code
Websites,http://michaeldberk.com/
iOS Apps,https://www.seas.upenn.edu/~cis195/index.html
Cuisine,http://sushinozawa.com/original
Fitness,https://www.sleeplikethedead.com/exer-100benefits.html
Web-Scraping,https://github.com/mberk06/Web-Scraping
